Project,Subproject,Treatment,Deployment Name,ID Type,Deployment ID,Sequence ID,Start_date,Day,Date,Time,Calendar_Date,Julian_Date,Detection_Time_24,Detection_Time_12,,Begin Time,End Time,Species Name,Common Name,Age,Sex,Individually Identifiable,Count,Actual Lat,Actual Lon,Fuzzed
Smithsonian Grassland Ecology Program,CMR_2019,CMR_2019:Other,autumn_CMR_Forest06_Cam2,Researcher,d53411,d53411s6,43657,20,43676,0.943020833,7/30/19,,22:37:57,10:37:57 PM,Night,2019-07-30T22:37:57,2019-07-30T22:38:01,Taxidea taxus,American Badger,Unknown,Unknown,N,1,47.61023,-108.35994,FALSE
Smithsonian Grassland Ecology Program,CMR_2019,CMR_2019:Other,autumn_CMR_Forest06_Cam3,Researcher,d53412,d53412s9,43657,36,43692,0.901678241,8/15/19,,21:38:25,9:38:25 PM,Night,2019-08-15T21:38:25,2019-08-15T21:38:29,Taxidea taxus,American Badger,Unknown,Unknown,N,1,47.6146,-108.36454,FALSE
Smithsonian Grassland Ecology Program,CMR_2019,CMR_2019:Other,autumn_CMR_PD33_Cam3,Researcher,d53496,d53496s5,43673,18,43690,0.700543981,8/13/19,,16:48:47,4:48:47 PM,Day,2019-08-13T16:48:47,2019-08-13T16:48:51,Taxidea taxus,American Badger,Unknown,Unknown,N,1,47.60961,-107.93739,FALSE
Smithsonian Grassland Ecology Program,Fort_Belknap_2019,Fort_Belknap_2019:Other,autumn_FBTC_Bison_Cam2,Researcher,d53675,d53675s4,43701,6,43706,0.049212963,8/29/19,,1:10:52,1:10:52 AM,Night,2019-08-29T01:10:52,2019-08-29T01:10:54,Taxidea taxus,American Badger,Unknown,Unknown,N,1,48.30319,-108.8328,
Smithsonian Grassland Ecology Program,PN_2019,PN_2019:Other,autumn_JRS_Cattle_Cam1,Researcher,d53824,d53824s14,43655,48,43702,0.292175926,8/25/19,,7:00:44,7:00:44 AM,Day,2019-08-25T07:00:44,2019-08-25T07:00:48,Taxidea taxus,American Badger,Adult,Unknown,N,1,47.66212,-109.64879,FALSE
Smithsonian Grassland Ecology Program,Sun_Prairie_2019,Sun_Prairie_2019:Other,autumn_ThirdC_Cattle_Cam2,Researcher,d53987,d53987s4,43711,7,43717,0.802094907,9/9/19,,19:15:01,7:15:01 PM,Day,2019-09-09T19:15:01,2019-09-09T19:15:02,Taxidea taxus,American Badger,Unknown,Unknown,N,1,47.7687,-107.80735,
Smithsonian Grassland Ecology Program,Timber_Creek_2019,Timber_Creek_2019:Other,autumn_TimberCreek_831_Cam2,Researcher,d54071,d54071s3,43681,9,43689,0.362928241,8/12/19,,8:42:37,8:42:37 AM,Day,2019-08-12T08:42:37,2019-08-12T08:42:39,Taxidea taxus,American Badger,Unknown,Unknown,N,1,48.03459,-107.18874,FALSE
Smithsonian Grassland Ecology Program,Timber_Creek_2019,Timber_Creek_2019:Other,autumn_TimberCreek_PD17_Cam1,Researcher,d54112,d54112s12,43681,7,43687,0.072916667,8/10/19,,1:45:00,1:45:00 AM,Night,2019-08-10T01:45:00,2019-08-10T01:45:03,Taxidea taxus,American Badger,Unknown,Unknown,N,1,47.81661,-107.27621,FALSE
Smithsonian Grassland Ecology Program,Timber_Creek_2019,Timber_Creek_2019:Other,autumn_TimberCreek_PD17_Cam1,Researcher,d54112,d54112s13,43681,7,43687,0.231168981,8/10/19,,5:32:53,5:32:53 AM,Night,2019-08-10T05:32:53,2019-08-10T05:32:58,Taxidea taxus,American Badger,Unknown,Unknown,N,1,47.81661,-107.27621,FALSE
Smithsonian Grassland Ecology Program,Timber_Creek_2019,Timber_Creek_2019:Other,autumn_TimberCreek_PD17_Cam2,Researcher,d54113,d54113s9,43681,21,43701,0.884814815,8/24/19,,21:14:08,9:14:08 PM,Night,2019-08-24T21:14:08,2019-08-24T21:14:09,Taxidea taxus,American Badger,Unknown,Unknown,N,1,47.8123,-107.2741,FALSE
