Project_ID,Nest_ID,Date,Year,PD_Playback,Trial_Order,Incubating_Sex,Male_Visible,Wind (km/h),Temp (C),Cloud_Cover (%),Start_Time,0-50,50-100,100-150,150-200,Alarm_Call,Alarm_Distance,Alarm_Time,Alarm_Interval,Mobbing,Mob_Distance,Mob_Time,Mob_Interval,Crouch_Distance,Crouch_Time,Crouch_Interval,Cryptic_Distance,Cryptic_Time,Cryptic_Interval,Notes,Pilot,Scribe,Scope,Nest_Fate,PD_Edge_Dist
LBCU,MT23-AR-01,5/18/23,2023,Yes,Control First,F,No,Look up,Look up,Look up,1326,NA,173,104,47,Absent,NA,NA,NA,Absent,NA,NA,NA,133,70,100-150,29,212,0-50,"no male present at start of trial, no calls from nearby PDs",RAD,,,,
LBCU,MT23-AR-01,5/16/23,2023,No,Control First,F,No,6,25,10,1221,NA,NA,176,60,Absent,NA,NA,NA,Absent,NA,NA,NA,NA,NA,NA,36,203,0-50,"no male visible, paused for raven flyovers",RAD,,,,
LBCU,MT23-CC-01,5/16/23,2023,No,Control First,F,No,Look up,Look up,Look up,1406,208,121,100,42,Present,94,72,NA,Absent,NA,NA,NA,NA,NA,NA,6,235,0-50,No male visible,RAD,,,,
LBCU,MT23-CC-01,5/18/23,2023,Yes,Control First,F,No,Look up,Look up,Look up,953,159,120,90,45,Absent,NA,NA,NA,Present,10,180,NA,NA,NA,NA,10,180,0-50,"Hazy with fire smoke, no male present @ start",RAD,,,,
LBCU,MT23-CC-02,5/23/23,2023,No,Control First,F,No,Look up,Look up,Look up,1032,NA,-,90,45,Present,134,90,100-150,Absent,NA,NA,NA,NA,NA,NA,77,150,50-100,"Flag time for 50-100 was not recoreded because the badger was slightly off course due to hilly terrain. Alarm call was made by nearby male, but unsure if it was her male",RAD,AR,,,
LBCU,MT23-RAD-01,5/16/23,2023,Yes,Control First,F,No,Look up,Look up,Look up,1114,NA,189,137,67,Absent,NA,NA,NA,Absent,NA,NA,NA,NA,NA,NA,30,224,0-50,male not visible,RAD,,,,
LBCU,MT23-RAD-03,5/16/23,2023,No,Playback First,F,No,4,18,5,1007,NA,129,79,51,Absent,NA,NA,NA,Absent,NA,NA,NA,161,136,50-100,20,151,50-100,"Trial 3 started at 1007, after 2 failed trials. Complete at 10:11",RAD,XRV,MAP,,
LBCU,MT23-RAD-03,5/14/23,2023,Yes,Playback First,F,No,Look up,Look up,Look up,1543,NA,NA,90,50,Absent,NA,NA,NA,Present,90,130,100-150,NA,NA,NA,90,130,100-150,F left nest after RAD set up playback to chase another bird but then sat down. As badger approached 3rd flag F went cryptic badger stuck and M flew in and mobbed ,RAD,NAP,CC,,
LBCU,MT23-RAD-04,5/17/23,2023,Yes,Playback First,F,No,look up,look up,look up,1022,NA,145,82,41,Absent,NA,NA,NA,Absent,NA,NA,NA,107,145,NA,20,161,0-50,,RAD,SR,,,
LBCU,MT23-RAD-04,5/19/23,2023,No,Playback First,F,No,look up,look up,look up,1009,NA,130,80,38,Present,66,156,0-50,Present,66,156,0-50,NA,NA,NA,12,197,0-50,1:46 - F looked back towards the badger between 50-100m flags (82m GPS),RAD,CC,,,
